title,year,cited_by,doi,venue,authors,method_relevance,areas,doi_url,oa_pdf_url,landing_url,openalex_url,is_oa
Deep-Learning-Based Semantic Segmentation of Remote Sensing Images: A Survey,2023,119,10.1109/jstars.2023.3335891,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Liwei Huang; Bitao Jiang; Shouye Lv,2.0,fm_finetune_seg; weak_supervision_rs; unet_vs_pooling; self_supervised_veg,https://doi.org/10.1109/jstars.2023.3335891,https://ieeexplore.ieee.org/ielx7/4609443/4609444/10330561.pdf,https://doi.org/10.1109/jstars.2023.3335891,https://openalex.org/W4389104786,True
Assessing the Potential of Sentinel-2 and Pléiades Data for the Detection of Prosopis and Vachellia spp. in Kenya,2017,108,10.3390/rs9010074,Remote Sensing,Wai‐Tim Ng; Purity Rima; Kathrin Einzmann,2.0,fm_finetune_seg; riparian_s2_ml,https://doi.org/10.3390/rs9010074,https://www.mdpi.com/2072-4292/9/1/74/pdf?version=1484565050,https://doi.org/10.3390/rs9010074,https://openalex.org/W2577871237,True
Deep Learning-Based Automated Forest Health Diagnosis From Aerial Images,2020,78,10.1109/access.2020.3012417,IEEE Access,Chia-Yen Chiang; Chloe Barnes; Plamen Angelov,2.0,fewshot_species_rs,https://doi.org/10.1109/access.2020.3012417,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09151141.pdf,https://doi.org/10.1109/access.2020.3012417,https://openalex.org/W3045976036,True
Modeling Streams and Hydrogeomorphic Attributes in Oregon From Digital and Field Data<sup>1</sup>,2008,77,10.1111/j.1752-1688.2008.00175.x,JAWRA Journal of the American Water Resources Association,Sharon E. Clarke; Kelly M. Burnett; Daniel J. Miller,2.0,corridor_vbet,https://doi.org/10.1111/j.1752-1688.2008.00175.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1752-1688.2008.00175.x,https://doi.org/10.1111/j.1752-1688.2008.00175.x,https://openalex.org/W2149633211,True
Multilevel Feature Fusion-Based CNN for Local Climate Zone Classification From Sentinel-2 Images: Benchmark Results on the So2Sat LCZ42 Dataset,2020,76,10.1109/jstars.2020.2995711,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Chunping Qiu; Xiaochong Tong; Michael Schmitt,2.0,fm_finetune_seg,https://doi.org/10.1109/jstars.2020.2995711,https://ieeexplore.ieee.org/ielx7/4609443/8994817/09103196.pdf,https://doi.org/10.1109/jstars.2020.2995711,https://openalex.org/W3031928995,True
BPAT-UNet: Boundary preserving assembled transformer UNet for ultrasound thyroid nodule segmentation,2023,73,10.1016/j.cmpb.2023.107614,Computer Methods and Programs in Biomedicine,Hui Bi; Chengjie Cai; Jiawei Sun,2.0,unet_vs_pooling,https://doi.org/10.1016/j.cmpb.2023.107614,https://doi.org/10.1016/j.cmpb.2023.107614,https://doi.org/10.1016/j.cmpb.2023.107614,https://openalex.org/W4377088910,True
Transformers for Remote Sensing: A Systematic Review and Analysis,2024,71,10.3390/s24113495,Sensors,R Z Wang; Lei Ma; Guangjun He,2.0,fewshot_species_rs,https://doi.org/10.3390/s24113495,https://www.mdpi.com/1424-8220/24/11/3495/pdf?version=1716963573,https://doi.org/10.3390/s24113495,https://openalex.org/W4399138403,True
Remote Sensing of Riparian Ecosystems,2022,52,10.3390/rs14112645,Remote Sensing,Miloš Rusnák; Tomáš Goga; Lukáš Michaleje,2.0,tamarisk_phenology; riparian_s2_ml; beetle_defoliation; dryland_riparian_change,https://doi.org/10.3390/rs14112645,https://www.mdpi.com/2072-4292/14/11/2645/pdf?version=1654157097,https://doi.org/10.3390/rs14112645,https://openalex.org/W4281917022,True
Land Use and Land Cover Mapping with VHR and Multi-Temporal Sentinel-2 Imagery,2023,37,10.3390/rs15102501,Remote Sensing,Suzanna Cuypers; Andrea Nascetti; Maarten Vergauwen,2.0,fm_finetune_seg,https://doi.org/10.3390/rs15102501,https://www.mdpi.com/2072-4292/15/10/2501/pdf?version=1683691232,https://doi.org/10.3390/rs15102501,https://openalex.org/W4382477149,True
Snow Coverage Mapping by Learning from Sentinel-2 Satellite Multispectral Images via Machine Learning Algorithms,2022,33,10.3390/rs14030782,Remote Sensing,Yucheng Wang; Jinya Su; Xiaojun Zhai,2.0,riparian_s2_ml,https://doi.org/10.3390/rs14030782,https://www.mdpi.com/2072-4292/14/3/782/pdf?version=1644301479,https://doi.org/10.3390/rs14030782,https://openalex.org/W4211160726,True
Generalization of U-Net Semantic Segmentation for Forest Change Detection in South Korea Using Airborne Imagery,2022,31,10.3390/f13122170,Forests,JongCheol Pyo; Kuk-jin Han; Yoonrang Cho,2.0,fm_finetune_seg,https://doi.org/10.3390/f13122170,https://www.mdpi.com/1999-4907/13/12/2170/pdf?version=1671270843,https://doi.org/10.3390/f13122170,https://openalex.org/W4313430889,True
DiffusionSat: A Generative Foundation Model for Satellite Imagery,2023,31,10.48550/arxiv.2312.03606,arXiv (Cornell University),Samar Khanna; Patrick Liu; Linqi Zhou,2.0,satmae_scalemae,https://doi.org/10.48550/arxiv.2312.03606,https://arxiv.org/pdf/2312.03606,http://arxiv.org/abs/2312.03606,https://openalex.org/W4389471355,True
The Self-Supervised Spectral–Spatial Vision Transformer Network for Accurate Prediction of Wheat Nitrogen Status from UAV Imagery,2022,31,10.3390/rs14061400,Remote Sensing,Xin Zhang; Liangxiu Han; Tam Sobeih,2.0,self_supervised_veg,https://doi.org/10.3390/rs14061400,https://www.mdpi.com/2072-4292/14/6/1400/pdf?version=1647316451,https://doi.org/10.3390/rs14061400,https://openalex.org/W4221050734,True
RS-SSKD: Self-Supervision Equipped with Knowledge Distillation for Few-Shot Remote Sensing Scene Classification,2021,26,10.3390/s21051566,Sensors,Pei Zhang; Ying Li; Dong Wang,2.0,fewshot_species_rs,https://doi.org/10.3390/s21051566,https://www.mdpi.com/1424-8220/21/5/1566/pdf?version=1614680361,https://doi.org/10.3390/s21051566,https://openalex.org/W3129332838,True
Foundation models for geospatial reasoning: assessing the capabilities of large language models in understanding geometries and topological spatial relations,2025,25,10.1080/13658816.2025.2511227,International Journal of Geographical Information Systems,Yuhan Ji; Song Gao; Ying Nie,2.0,prithvi,https://doi.org/10.1080/13658816.2025.2511227,https://arxiv.org/pdf/2505.17136,http://arxiv.org/abs/2505.17136,https://openalex.org/W4410957795,True
An Integrated Spectral–Structural Workflow for Invasive Vegetation Mapping in an Arid Region Using Drones,2021,22,10.3390/drones5010019,Drones,Arnold Chi Kedia; Brandi Kapos; Songmei Liao,2.0,tamarisk_phenology,https://doi.org/10.3390/drones5010019,https://www.mdpi.com/2504-446X/5/1/19/pdf?version=1615203167,https://doi.org/10.3390/drones5010019,https://openalex.org/W3133620937,True
Detecting floating litter in freshwater bodies with semi-supervised deep learning,2024,13,10.1016/j.watres.2024.122405,Water Research,Tianlong Jia; Rinze de Vries; Zoran Kapelan,2.0,prithvi,https://doi.org/10.1016/j.watres.2024.122405,https://doi.org/10.1016/j.watres.2024.122405,https://doi.org/10.1016/j.watres.2024.122405,https://openalex.org/W4402440583,True
Few-Shot Learning for Fault Diagnosis: Semi-Supervised Prototypical Network with Pseudo-Labels,2022,13,10.3390/sym14071489,Symmetry,Jun He; Zheshuai Zhu; Xinyu Fan,2.0,fewshot_species_rs,https://doi.org/10.3390/sym14071489,https://www.mdpi.com/2073-8994/14/7/1489/pdf?version=1658395855,https://doi.org/10.3390/sym14071489,https://openalex.org/W4286433412,True
Revisiting pre-trained remote sensing model benchmarks: resizing and normalization matters,2023,7,10.48550/arxiv.2305.13456,arXiv (Cornell University),Isaac Corley; Caleb Robinson; Rahul Dodhia,2.0,presto_pixel_ts,https://doi.org/10.48550/arxiv.2305.13456,https://arxiv.org/pdf/2305.13456,http://arxiv.org/abs/2305.13456,https://openalex.org/W4378072680,True
Accounting for Spatial Variability with the Histogram of Oriented Gradients Based Masking Improves Performance of Masked Autoencoder over Hyperspectral Satellite Imagery (Student Abstract),2025,3,10.1609/aaai.v39i28.35253,Proceedings of the AAAI Conference on Artificial Intelligence,Tanjim Bin Faruk; Abdul Matin; Shrideep Pallickara,2.0,satmae_scalemae,https://doi.org/10.1609/aaai.v39i28.35253,https://ojs.aaai.org/index.php/AAAI/article/download/35253/37408,https://doi.org/10.1609/aaai.v39i28.35253,https://openalex.org/W4409360965,True
Multi-Spectral Remote Sensing Image Retrieval Using Geospatial Foundation Models,2024,2,10.48550/arxiv.2403.02059,arXiv (Cornell University),Benedikt Blumenstiel; Viktoria Moor; Romeo Kienzler,2.0,presto_pixel_ts,https://doi.org/10.48550/arxiv.2403.02059,https://arxiv.org/pdf/2403.02059,http://arxiv.org/abs/2403.02059,https://openalex.org/W4392489348,True
Geospatial foundation models for image analysis: evaluating and enhancing NASA-IBM Prithvi's domain adaptability,2024,1,10.48550/arxiv.2409.00489,arXiv (Cornell University),Chia-Yu Hsu; Wenwen Li; Sizhe Wang,2.0,prithvi,https://doi.org/10.48550/arxiv.2409.00489,https://arxiv.org/pdf/2409.00489,http://arxiv.org/abs/2409.00489,https://openalex.org/W4402953627,True
TESSERA v2: Scaling Pixel-wise Earth Foundation Models,2026,0,,arXiv (Cornell University),Zhengpeng Feng; Sadiq Jaffer; Ira Shokar,2.0,presto_pixel_ts,,,,,
Pretrain Where? Investigating How Pretraining Data Diversity Impacts Geospatial Foundation Model Performance,2026,0,,arXiv (Cornell University),Amandeep Kaur; Mirali Purohit; Gedeon Muhawenayo,2.0,presto_pixel_ts,,,,,
Emerging opportunities and challenges for passive acoustics in ecological assessment and monitoring,2018,722,10.1111/2041-210x.13101,Methods in Ecology and Evolution,Rory Gibb; Ella Browning; Paul Glover‐Kapfer,1.5,fewshot_species_rs,https://doi.org/10.1111/2041-210x.13101,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/2041-210X.13101,https://doi.org/10.1111/2041-210x.13101,https://openalex.org/W2894847505,True
MAMMALS OF THE RIO JURUÁ AND THE EVOLUTIONARY AND ECOLOGICAL DIVERSIFICATION OF AMAZONIA,2000,463,10.1206/0003-0090(2000)244<0001:motrja>2.0.co;2,Bulletin of the American Museum of Natural History,James L. Patton; Maria Nazareth F. da Silva; Jay R. Malcolm,1.5,corridor_vbet,https://doi.org/10.1206/0003-0090(2000)244<0001:motrja>2.0.co;2,https://bioone.org/journals/bulletin-of-the-american-museum-of-natural-history/volume-2000/issue-244/0003-0090_2000_244_0001_MOTRJA_2.0.CO_2/MAMMALS-OF-THE-RIO-JURU%c3%81-AND-THE-EVOLUTIONARY-AND-ECOLOGICAL/10.1206/0003-0090(2000)244<0001:MOTRJA>2.0.CO;2.pdf,https://doi.org/10.1206/0003-0090(2000)244<0001:motrja>2.0.co;2,https://openalex.org/W2135738065,True
Transformers in Remote Sensing: A Survey,2023,378,10.3390/rs15071860,Remote Sensing,Abdulaziz Amer Aleissaee; Amandeep Kumar; Rao Muhammad Anwer,1.5,weak_supervision_rs,https://doi.org/10.3390/rs15071860,https://www.mdpi.com/2072-4292/15/7/1860/pdf?version=1680226274,https://doi.org/10.3390/rs15071860,https://openalex.org/W4362519158,True
Mapping Three Decades of Changes in the Brazilian Savanna Native Vegetation Using Landsat Data Processed in the Google Earth Engine Platform,2020,255,10.3390/rs12060924,Remote Sensing,Ane Alencar; Julia Z. Shimbo; Felipe Lenti,1.5,fm_riparian; riparian_s2_ml,https://doi.org/10.3390/rs12060924,https://www.mdpi.com/2072-4292/12/6/924/pdf?version=1584098567,https://doi.org/10.3390/rs12060924,https://openalex.org/W3011435629,True
Remote Sensing Object Detection in the Deep Learning Era—A Review,2024,242,10.3390/rs16020327,Remote Sensing,Shengxi Gui; Shuang Song; Rongjun Qin,1.5,fm_finetune_seg; weak_supervision_rs,https://doi.org/10.3390/rs16020327,https://www.mdpi.com/2072-4292/16/2/327/pdf?version=1705073362,https://doi.org/10.3390/rs16020327,https://openalex.org/W4390826350,True
Principles of the Atmospheric Pathway for Invasive Species Applied to Soybean Rust,2005,213,10.1641/0006-3568(2005)055[0851:potapf]2.0.co;2,BioScience,Scott A. Isard; Stuart H. Gage; Paul Comtois,1.5,invasive_phenology_ts,https://doi.org/10.1641/0006-3568(2005)055[0851:potapf]2.0.co;2,https://academic.oup.com/bioscience/article-pdf/55/10/851/26896247/55-10-851.pdf,https://doi.org/10.1641/0006-3568(2005)055[0851:potapf]2.0.co;2,https://openalex.org/W2175253237,True
"GFPLAIN250m, a global high-resolution dataset of Earth’s floodplains",2019,194,10.1038/sdata.2018.309,Scientific Data,Fernando Nardi; Antonio Annis; Giuliano Di Baldassarre,1.5,corridor_vbet,https://doi.org/10.1038/sdata.2018.309,https://www.nature.com/articles/sdata2018309.pdf,https://doi.org/10.1038/sdata.2018.309,https://openalex.org/W2909848146,True
Bumps in river profiles: uncertainty assessment and smoothing using quantile regression techniques,2017,190,10.5194/esurf-5-821-2017,Earth Surface Dynamics,Wolfgang Schwanghart; Dirk Scherler,1.5,corridor_vbet,https://doi.org/10.5194/esurf-5-821-2017,https://www.earth-surf-dynam.net/5/821/2017/esurf-5-821-2017.pdf,https://doi.org/10.5194/esurf-5-821-2017,https://openalex.org/W2771910403,True
Sentinel-2’s Potential for Sub-Pixel Landscape Feature Detection,2016,188,10.3390/rs8060488,Remote Sensing,Julien Radoux; Guillaume Chomé; Damien Jacques,1.5,riparian_s2_ml,https://doi.org/10.3390/rs8060488,https://www.mdpi.com/2072-4292/8/6/488/pdf?version=1465461511,https://doi.org/10.3390/rs8060488,https://openalex.org/W2418853085,True
Evaluating digital terrain indices for soil wetness mapping – a Swedish case study,2014,178,10.5194/hess-18-3623-2014,Hydrology and earth system sciences,Anneli Ågren; William Lidberg; Monika Strömgren,1.5,corridor_vbet,https://doi.org/10.5194/hess-18-3623-2014,https://hess.copernicus.org/articles/18/3623/2014/hess-18-3623-2014.pdf,https://doi.org/10.5194/hess-18-3623-2014,https://openalex.org/W2009063009,True
Comparing Sentinel-1 Surface Water Mapping Algorithms and Radiometric Terrain Correction Processing in Southeast Asia Utilizing Google Earth Engine,2020,152,10.3390/rs12152469,Remote Sensing,Kel Markert; Amanda Markert; Timothy Mayer,1.5,riparian_s2_ml,https://doi.org/10.3390/rs12152469,https://www.mdpi.com/2072-4292/12/15/2469/pdf?version=1596512116,https://doi.org/10.3390/rs12152469,https://openalex.org/W3047260318,True
Upscaling Nitrogen Removal Capacity from Local Hotspots to Low Stream Orders’ Drainage Basins,2015,148,10.1007/s10021-015-9878-5,Ecosystems,Gilles Pinay; Stefan Peiffer; Jean‐Raynald de Dreuzy,1.5,corridor_vbet,https://doi.org/10.1007/s10021-015-9878-5,https://link.springer.com/content/pdf/10.1007/s10021-015-9878-5.pdf,https://doi.org/10.1007/s10021-015-9878-5,https://openalex.org/W1587904503,True
Using remote sensing to characterize riparian vegetation: A review of available tools and perspectives for managers,2020,137,10.1016/j.jenvman.2020.110652,Journal of Environmental Management,Léo Huylenbroeck; Marianne Laslier; Simon Dufour,1.5,tamarisk_phenology; beetle_defoliation; dryland_riparian_change,https://doi.org/10.1016/j.jenvman.2020.110652,https://orbi.uliege.be/handle/2268/247978,https://orbi.uliege.be/handle/2268/247978,https://openalex.org/W3023789500,True
Impact of Texture Information on Crop Classification with Machine Learning and UAV Images,2019,133,10.3390/app9040643,Applied Sciences,Geun-Ho Kwak; No-Wook Park,1.5,riparian_s2_ml,https://doi.org/10.3390/app9040643,https://www.mdpi.com/2076-3417/9/4/643/pdf?version=1550573683,https://doi.org/10.3390/app9040643,https://openalex.org/W2912822096,True
Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data,2019,120,10.3390/rs11040414,Remote Sensing,Lin Chen; Yeqiao Wang; Chunying Ren,1.5,riparian_s2_ml,https://doi.org/10.3390/rs11040414,https://www.mdpi.com/2072-4292/11/4/414/pdf?version=1550473559,https://doi.org/10.3390/rs11040414,https://openalex.org/W2916382809,True
A riparian conservation network for ecological resilience,2015,116,10.1016/j.biocon.2015.06.029,Biological Conservation,Alexander K. Fremier; Michael Kiparsky; Stephan Gmur,1.5,fm_riparian,https://doi.org/10.1016/j.biocon.2015.06.029,https://escholarship.org/uc/item/37c5j22w,https://escholarship.org/uc/item/37c5j22w,https://openalex.org/W783796438,True
Mapping of the Invasive Species Hakea sericea Using Unmanned Aerial Vehicle (UAV) and WorldView-2 Imagery and an Object-Oriented Approach,2017,103,10.3390/rs9090913,Remote Sensing,María Flor Álvarez Taboada; Claudio Paredes; Julia Julián-Pelaz,1.5,tamarisk_phenology,https://doi.org/10.3390/rs9090913,https://www.mdpi.com/2072-4292/9/9/913/pdf?version=1504272303,https://doi.org/10.3390/rs9090913,https://openalex.org/W2751262706,True
Remote Sensing of Mine Site Rehabilitation for Ecological Outcomes: A Global Systematic Review,2020,100,10.3390/rs12213535,Remote Sensing,P. McKenna; Alex M. Lechner; Stuart Phinn,1.5,russian_olive,https://doi.org/10.3390/rs12213535,https://www.mdpi.com/2072-4292/12/21/3535/pdf,https://doi.org/10.3390/rs12213535,https://openalex.org/W3097000775,True
Using Remote Sensing to Quantify the Joint Effects of Climate and Land Use/Land Cover Changes on the Caatinga Biome of Northeast Brazilian,2022,89,10.3390/rs14081911,Remote Sensing,Alexandre Maniçoba da Rosa Ferraz Jardim; George do Nascimento Araújo Júnior; Marcos Vinícius da Silva,1.5,fm_riparian,https://doi.org/10.3390/rs14081911,https://www.mdpi.com/2072-4292/14/8/1911/pdf?version=1650361203,https://doi.org/10.3390/rs14081911,https://openalex.org/W4224304676,True
Detection and Delineation of Localized Flooding from WorldView-2 Multispectral Data,2015,84,10.3390/rs71114853,Remote Sensing,R Malinowski; Geoffrey Brian Groom; Wolfgang Schwanghart,1.5,corridor_vbet,https://doi.org/10.3390/rs71114853,https://www.mdpi.com/2072-4292/7/11/14853/pdf?version=1446821681,https://doi.org/10.3390/rs71114853,https://openalex.org/W2099688631,True
A review of carbon monitoring in wet carbon systems using remote sensing,2022,83,10.1088/1748-9326/ac4d4d,Environmental Research Letters,Anthony Campbell; Temilola Fatoyinbo; Sean P. Charles,1.5,fm_riparian,https://doi.org/10.1088/1748-9326/ac4d4d,https://doi.org/10.1088/1748-9326/ac4d4d,https://doi.org/10.1088/1748-9326/ac4d4d,https://openalex.org/W4206260925,True
Drone Laser Scanning for Modeling Riverscape Topography and Vegetation: Comparison with Traditional Aerial Lidar,2019,77,10.3390/drones3020035,Drones,Jonathan P. Resop; L. Lehmann; W. Cully Hession,1.5,fm_riparian,https://doi.org/10.3390/drones3020035,https://www.mdpi.com/2504-446X/3/2/35/pdf?version=1555293480,https://doi.org/10.3390/drones3020035,https://openalex.org/W2939702024,True
Human alterations of the global floodplains 1992–2019,2023,74,10.1038/s41597-023-02382-x,Scientific Data,Adnan Rajib; Qianjin Zheng; Charles R. Lane,1.5,corridor_vbet,https://doi.org/10.1038/s41597-023-02382-x,https://www.nature.com/articles/s41597-023-02382-x.pdf,https://doi.org/10.1038/s41597-023-02382-x,https://openalex.org/W4385343145,True
Hydrogeomorphological differentiation between floodplains and terraces,2017,59,10.1002/esp.4234,Earth Surface Processes and Landforms,Qina Yan; Toshiki Iwasaki; Andrew J. Stumpf,1.5,corridor_vbet,https://doi.org/10.1002/esp.4234,https://escholarship.org/content/qt0vg421jk/qt0vg421jk.pdf,https://escholarship.org/uc/item/0vg421jk,https://openalex.org/W2745426207,True
Remote sensing indicators to assess riparian vegetation and river ecosystem health,2022,49,10.1016/j.ecolind.2022.109519,Ecological Indicators,Giorgio Pace; Cayetano Gutiérrez‐Cánovas; Renato Henriques,1.5,fm_riparian; riparian_s2_ml,https://doi.org/10.1016/j.ecolind.2022.109519,https://ars.els-cdn.com/content/image/1-s2.0-S1470160X2200992X-ga1_lrg.jpg,https://doi.org/10.1016/j.ecolind.2022.109519,https://openalex.org/W4298641631,True
Riparian vegetation shade restoration and loss effects on recent and future stream temperatures,2022,49,10.1111/rec.13626,Restoration Ecology,Matthew R. Fuller; Peter Leinenbach; Naomi E. Detenbeck,1.5,fm_riparian,https://doi.org/10.1111/rec.13626,https://www.osti.gov/servlets/purl/1982921,https://www.osti.gov/biblio/1982921,https://openalex.org/W4205277359,True
Ecosystem services of a functionally diverse riparian zone in the Amazon–Cerrado agricultural frontier,2019,47,10.1016/j.gecco.2019.e00819,Global Ecology and Conservation,Rodolfo Nóbrega; Taciana Ziembowicz; Gilmar Nunes Torres,1.5,corridor_vbet,https://doi.org/10.1016/j.gecco.2019.e00819,https://www.sciencedirect.com/science/article/pii/S2351989419305001?via%3Dihub,https://doi.org/10.1016/j.gecco.2019.e00819,https://openalex.org/W2980883531,True
Adaptive capacity in the foundation tree species Populus fremontii: implications for resilience to climate change and non-native species invasion in the American Southwest,2020,43,10.1093/conphys/coaa061,Conservation Physiology,Kevin R. Hultine; Gerard J. Allan; Davis Blasini,1.5,beetle_defoliation,https://doi.org/10.1093/conphys/coaa061,https://watermark.silverchair.com/coaa061.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAArowggK2BgkqhkiG9w0BBwagggKnMIICowIBADCCApwGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMnvVHUeTG8UyNCdSgAgEQgIICbVoTl-jXRiIyb0i1inBmg_FR1QIcl9CL2HXyt214tpdZxxpBTKNAdo-WrkD0ekQoi_L-pdLeQngmbNiCS7k7UNUPfEWiykABTtS7TgfXbapkdQX2nNqeGt6gZzQsU9_XdWre3GryPyNomNvZjm6ECr45oR7S6KcdBdqLtuJbA6LFMQan92ZTYja4wc_5jdHDhHQqwaULjh6PECpFI8HAnZiOgdpWr3_3BhWmKIBZptEZu4XjPDZCEE4Y9q_0JyARbnE4v85onri3LSWsaUOISh7i2QAmNPmYUrvX-oQNsGpvSJGbhpajoy2F5X_KcN71_XmRK_9kXJwtZJ0pl0lBnomjqDQTzaJ2XL0C1HJ08NESVTexN3V4b90qoN_JLVnZmbK22BUPFuAh-l5Hryjf76dqdvZ7AC5L07mHz5_5mfXC1Y8ukK3o-Cps1I3wqLRWS5xi2KX-Ato33zb7P3sZ1xohDTyER6wYk8xZeQlKbJOjboqgJDpYzAF5ZJV_5E-J3AXrZIIvmWsOPSiUHqdigmaZWXFMwVMP073llyxf6JpJGYns35Kdt3u-KM5qzbo2o-mY8a5-ArnsmfGLcb4Ckr1uE-WPYfeIoFJu1Sab1d8rtOEIsmRiISCbKSdSdT6G58NPSL6HnCxqaIzl8oT5XPFE-24RYYx3StSjCjAy8XD_IgDmOuwoI1ZKSBEQpVb_qZ0OPqazy9w5L0nMcIFWgm0Jt_IhjZWUarc6UdV0paq7wsf7jlqoRr68x7E_Ssa5qc9PcLsAGIM33YjitlpRXXjs8UcD9ZaKPbOa-OxPFSQYBikcNvs2mgOb_2ALcg,https://doi.org/10.1093/conphys/coaa061,https://openalex.org/W3043213882,True
The Development of Near Real-Time Biomass and Cover Estimates for Adaptive Rangeland Management Using Landsat 7 and Landsat 8 Surface Reflectance Products,2018,42,10.3390/rs10071057,Remote Sensing,Vincent Jansen; Crystal A. Kolden; H. Schmalz,1.5,dryland_riparian_change,https://doi.org/10.3390/rs10071057,https://www.mdpi.com/2072-4292/10/7/1057/pdf?version=1530690359,https://doi.org/10.3390/rs10071057,https://openalex.org/W2810257918,True
LiDAR derived ecological integrity indicators for riparian zones: Application to the Houille river in Southern Belgium/Northern France,2013,39,10.1016/j.ecolind.2013.06.024,Ecological Indicators,Adrien Michez; Hervé Piégay; François Toromanoff,1.5,corridor_vbet,https://doi.org/10.1016/j.ecolind.2013.06.024,https://linkinghub.elsevier.com/science/article/pii/S1470160X13002550,https://doi.org/10.1016/j.ecolind.2013.06.024,https://openalex.org/W1984860155,True
A Dynamic Effective Class Balanced Approach for Remote Sensing Imagery Semantic Segmentation of Imbalanced Data,2023,37,10.3390/rs15071768,Remote Sensing,Zheng Zhou; Change Zheng; Xiaodong Liu,1.5,fm_finetune_seg,https://doi.org/10.3390/rs15071768,https://www.mdpi.com/2072-4292/15/7/1768/pdf?version=1679748073,https://doi.org/10.3390/rs15071768,https://openalex.org/W4361009274,True
How Spatial Resolution Affects Forest Phenology and Tree-Species Classification Based on Satellite and Up-Scaled Time-Series Images,2021,33,10.3390/rs13142716,Remote Sensing,Kaijian Xu; Zhaoying Zhang; Wanwan Yu,1.5,invasive_phenology_ts,https://doi.org/10.3390/rs13142716,https://www.mdpi.com/2072-4292/13/14/2716/pdf,https://doi.org/10.3390/rs13142716,https://openalex.org/W3180781590,True
"Understanding the Ecosystem Services of Riparian Forests: Patterns, Gaps, and Global Trends",2025,30,10.3390/f16060947,Forests,Lucian Dincă; Gabriel Murariu; Mariana Lupoae,1.5,corridor_vbet,https://doi.org/10.3390/f16060947,https://www.mdpi.com/1999-4907/16/6/947/pdf?version=1749034710,https://doi.org/10.3390/f16060947,https://openalex.org/W4411027119,True
Estimating Actual Evapotranspiration over Croplands Using Vegetation Index Methods and Dynamic Harvested Area,2021,30,10.3390/rs13245167,Remote Sensing,Neda Abbasi; Hamideh Nouri; Kamel Didan,1.5,dryland_riparian_change,https://doi.org/10.3390/rs13245167,https://www.mdpi.com/2072-4292/13/24/5167/pdf?version=1639999299,https://doi.org/10.3390/rs13245167,https://openalex.org/W4200012690,True
"Multiscale control of flooding and riparian‐forest composition in Lower Michigan, USA",2009,26,10.1890/07-1242.1,Ecology,Matthew E. Baker; Michael J. Wiley,1.5,corridor_vbet,https://doi.org/10.1890/07-1242.1,https://hdl.handle.net/2027.42/117201,https://hdl.handle.net/2027.42/117201,https://openalex.org/W2110371514,True
"Grain-size variability of point-bar deposits from a fine-grained dryland river terminus, Southern Altiplano, Bolivia",2020,22,10.1016/j.sedgeo.2020.105663,Sedimentary Geology,Jiaguang Li; Jef Vandenberghe; Nigel P. Mountney,1.5,dryland_riparian_change,https://doi.org/10.1016/j.sedgeo.2020.105663,https://www.sciencedirect.com/science/article/pii/S0037073820300786,https://doi.org/10.1016/j.sedgeo.2020.105663,https://openalex.org/W3016053523,True
Remote sensing bio-control damage on aquatic invasive alien plant species,2015,14,10.4314/sajg.v4i4.8,South African Journal of Geomatics,Naeem Agjee; Onisimo Mutanga; Riyad Ismail,1.5,beetle_defoliation,https://doi.org/10.4314/sajg.v4i4.8,https://www.ajol.info/index.php/sajg/article/download/125793/115332,https://doi.org/10.4314/sajg.v4i4.8,https://openalex.org/W2175700903,True
Detection of two intermixed invasive woody species using color infrared aerial imagery and the support vector machine classifier,2013,12,10.1117/1.jrs.7.073588,Journal of Applied Remote Sensing,Mustafa Mırık; Sriroop Chaudhuri; Brady Surber,1.5,tamarisk_phenology,https://doi.org/10.1117/1.jrs.7.073588,https://www.spiedigitallibrary.org/journals/journal-of-applied-remote-sensing/volume-7/issue-1/073588/Detection-of-two-intermixed-invasive-woody-species-using-color-infrared/10.1117/1.JRS.7.073588.pdf,https://doi.org/10.1117/1.jrs.7.073588,https://openalex.org/W2139657370,True
"Case studies of riparian and watershed restoration in the southwestern United States—Principles, challenges, and successes",2017,11,10.3133/ofr20171091,Antarctica A Keystone in a Changing World,Barbara E. Ralston; Daniel A. Sarr,1.5,russian_olive; beetle_defoliation,https://doi.org/10.3133/ofr20171091,https://pubs.usgs.gov/of/2017/1091/ofr20171091.pdf,https://doi.org/10.3133/ofr20171091,https://openalex.org/W2736778552,True
Crossing the Great Divide: Bridging the Researcher–Practitioner Gap to Maximize the Utility of Remote Sensing for Invasive Species Monitoring and Management,2021,9,10.3390/rs13204142,Remote Sensing,Kelsey Parker; Arthur Elmes; Peter B. Boucher,1.5,tamarisk_phenology; beetle_defoliation,https://doi.org/10.3390/rs13204142,https://www.mdpi.com/2072-4292/13/20/4142/pdf?version=1634648290,https://doi.org/10.3390/rs13204142,https://openalex.org/W3205551248,True
